Date,Page Views,Amount Spent,Total Page Likes,Daily Paid Likes,Daily Organic Likes,Paid Post Impressions,Organic Post Impressions,,
12/20/2016,2,$0.00,46,0,0,0,12,,
12/21/2016,1,$0.00,46,0,0,0,12,,
12/22/2016,0,$0.00,46,0,0,0,11,,
12/23/2016,0,$0.00,46,0,0,0,0,,
12/24/2016,0,$0.00,46,0,0,0,0,,
12/25/2016,0,$0.00,46,0,0,0,15,,
12/26/2016,0,$0.00,46,0,0,0,2,,
12/27/2016,0,$0.00,46,0,0,0,0,,
12/28/2016,0,$0.00,46,0,0,0,14,,
12/29/2016,0,$0.00,46,0,0,0,0,,
12/30/2016,0,$0.00,46,0,0,0,0,,
12/31/2016,1,$0.00,46,0,0,0,0,,
1/1/2017,0,$0.00,46,0,0,0,15,,
1/2/2017,0,$0.00,46,0,0,0,2,,
1/3/2017,2,$0.00,46,0,0,0,12,,
1/4/2017,2,$0.00,46,0,0,0,14,,
1/5/2017,1,$0.00,46,0,0,0,2,,
1/6/2017,0,$0.00,46,0,0,0,0,,
1/7/2017,0,$0.00,46,0,0,0,0,,
1/8/2017,2,$0.00,46,0,0,0,13,,
1/9/2017,0,$0.00,46,0,0,0,0,,
1/10/2017,0,$0.00,46,0,0,0,0,,
1/11/2017,0,$0.00,46,0,0,0,12,,
1/12/2017,0,$0.00,46,0,0,0,13,,
1/13/2017,0,$0.00,46,0,0,0,1,,
1/14/2017,0,$0.00,46,0,0,0,0,,
1/15/2017,0,$0.00,46,0,0,0,18,,
1/16/2017,0,$0.00,46,0,0,0,9,,
1/17/2017,1,$0.00,46,0,0,0,9,,
1/18/2017,2,$0.00,47,0,1,0,12,,
1/19/2017,4,$0.00,47,0,0,0,3,,
1/20/2017,3,$0.00,47,0,0,198,0,,
1/21/2017,0,$1.54,47,0,0,607,0,,
1/22/2017,1,$4.98,48,1,0,378,17,,
1/23/2017,4,$3.48,48,0,0,2,24,,
1/24/2017,13,$0.00,48,0,0,0,21,,
1/25/2017,3,$0.00,49,0,1,0,19,,
1/26/2017,5,$0.00,50,0,1,0,20,,
1/27/2017,6,$0.00,50,0,0,0,8,,
1/28/2017,1,$0.00,50,0,0,0,10,,
1/29/2017,1,$0.00,50,0,0,0,15,,
1/30/2017,4,$0.00,50,0,0,0,18,,
1/31/2017,4,$0.00,50,0,0,0,9,,
2/1/2017,4,$0.00,50,0,0,0,6,,
2/2/2017,2,$0.00,50,0,0,0,12,,
2/3/2017,7,$0.00,50,0,0,0,3,,
2/4/2017,1,$0.00,50,0,0,0,0,,
2/5/2017,0,$0.00,50,0,0,0,20,,
2/6/2017,1,$0.00,51,0,1,0,24,,
2/7/2017,2,$0.00,51,0,0,0,14,,
2/8/2017,1,$0.00,51,0,0,0,4,,
2/9/2017,0,$0.00,51,0,0,0,0,,
2/10/2017,0,$0.00,51,0,0,0,0,,
2/11/2017,1,$0.00,52,0,1,0,16,,
2/12/2017,1,$0.00,52,0,0,0,3,,
2/13/2017,3,$0.00,52,0,0,0,12,,
2/14/2017,5,$0.00,52,0,0,0,6,,
2/15/2017,2,$0.00,52,0,0,0,10,,
